"","acetate","propionate","isobutyrate","butyrate","isovalerate","valerate"
"J001-acggm",20.1,8.9,0.1,7,0.5,3.1
"J001-ctrl ",8,4.8,0.1,6.1,0.5,2.7
"J018-acggm",23.4,10.9,0.4,15.2,0.8,5.4
"J018-ctrl ",8.3,5.1,0.2,11.1,0.7,3.7
"J016-acggm",20.2,11.4,0.1,9.2,0.5,3.8
"J016-ctrl ",9.2,5.8,0.1,6.7,0.6,3.6
"J022-acggm",21.9,21,0.2,10.1,0.7,4.6
"J022-ctrl ",11.3,8.1,0.1,6.5,0.4,3
"J020-acggm",28,15,NA,5.5,NA,1.2
"J020-ctrl ",11.1,8.5,0.1,7.2,0.4,2.8
"J011-acggm",31.9,22,0.1,9.1,0.4,3.8
"J011-ctrl ",10.7,11.8,0.1,5.9,0.4,3.5
"J021-acggm",23.1,12.7,0.1,7.8,0.3,3.2
"J021-ctrl ",8.4,7.6,0.1,5.9,0.4,2.9
"J014-acggm",26,17.3,0.3,12.1,0.7,5.2
"J014-ctrl ",11.1,7.6,0.1,9.2,0.6,3.7
