"","acetate","propionate","isobutyrate","butyrate","isovalerate","valerate"
"J001-0h",22.2,4.5,0.1,2.2,0.4,0.7
"J001-acggm",20.1,8.9,0.1,7,0.5,3.1
"J001-ctrl",8,4.8,0.1,6.1,0.5,2.7
"J001-24h-acggm",14.8,6.3,0.3,8.9,0.9,4.6
"J001-24h-ctrl",5.7,2.8,0.6,10.9,1.4,5.7
"J018-0h",20.9,7,NA,4.2,0.1,0.9
"J018-acggm",23.4,10.9,0.4,15.2,0.8,5.4
"J018-ctrl",8.3,5.1,0.2,11.1,0.7,3.7
"J018-24h-acggm",22.7,17,0.4,17,0.8,11.3
"J018-24h-ctrl",8.1,15,0.5,12.7,1,10.6
"J016-0h",21.5,9.6,NA,4.6,NA,0.9
"J016-acggm",20.2,11.4,0.1,9.2,0.5,3.8
"J016-ctrl",9.2,5.8,0.1,6.7,0.6,3.6
"J016-24h-acggm",25.5,20,0.4,19.9,0.9,13.1
"J016-24h-ctrl",8.1,15.4,0.5,11.3,1.2,10.9
"J022-0h",22.4,7.4,0.1,4.1,0.1,0.9
"J022-acggm",21.9,21,0.2,10.1,0.7,4.6
"J022-ctrl",11.3,8.1,0.1,6.5,0.4,3
"J022-24h-acggm",27.6,30.7,0.3,12.1,0.8,11.6
"J022-24h-ctrl",10.6,18.2,0.6,13.1,1.1,6.8
"J020-0h",27.9,9.1,NA,4.5,0.1,0.9
"J020-acggm",28,15,NA,5.5,NA,1.2
"J020-ctrl",11.1,8.5,0.1,7.2,0.4,2.8
"J020-24h-acggm",26,15.4,NA,7.3,NA,1.5
"J020-24h-ctrl",8.9,7.7,0.4,15,1.2,7
"J011-0h",26.2,8.2,NA,3.5,0.1,0.5
"J011-acggm",31.9,22,0.1,9.1,0.4,3.8
"J011-ctrl",10.7,11.8,0.1,5.9,0.4,3.5
"J011-24h-acggm",26.7,32,0.3,15.7,0.7,9.9
"J011-24h-ctrl",9.4,24.3,0.5,8.5,1,9.7
"J021-0h",30.3,8.9,NA,3.8,0.1,0.6
"J021-acggm",23.1,12.7,0.1,7.8,0.3,3.2
"J021-ctrl",8.4,7.6,0.1,5.9,0.4,2.9
"J021-24h-acggm",15,10.2,0.3,12.3,0.9,6.4
"J021-24h-ctrl",9.5,8.7,0.4,11.7,1.2,6.4
"J014-0h",24.9,8.3,0.1,4.4,0.1,0.7
"J014-acggm",26,17.3,0.3,12.1,0.7,5.2
"J014-ctrl",11.1,7.6,0.1,9.2,0.6,3.7
"J014-24h-acggm",28.9,30.9,0.5,20.3,0.9,14
"J014-24h-ctrl",7.8,14.6,0.7,16,1.2,13.9
