"","J001-0h","J001-ctrl","J001-acggm","J011-0h","J011-ctrl","J011-acggm","J014-0h","J014-ctrl","J014-acggm","J016-0h","J016-ctrl","J016-acggm","J018-0h","J018-ctrl","J018-acggm","J020-0h","J020-ctrl","J020-acggm","J021-0h","J021-ctrl","J021-acggm","J022-0h","J022-ctrl","J022-acggm"
"MAG001",0.07753926,0.008833337,0.008078557,0.010732533,0.0033216674,0.003187978,0.007995119,0.0028204957,0.0019302912,0.052842014,0.018111251,0.015313957,0.0030799333,0.0010884837,0,0.090897426,0.03167048,0.029763913,0.03066614,0.00817851,0.009954595,0.0063215373,0.0013275947,0.0009810241
"MAG002",0.02682861,0.0031665948,0.0021141288,0.0039366377,0.00072611857,0,0.003255836,0.000841741,0,0,0,0,0,0,0,0.012175262,0.0042917496,0.0025067402,0.0034657698,0.00059581007,0.0006577517,0.0012930537,0,0
"MAG003",0.0633814,0.0045964485,0.0051595895,0.0055602817,0,0,0.01077241,0.0010199219,0.0007564159,0.046874125,0.0041107787,0.0028038674,0,0,0,0.08606798,0.0037012275,0.002483774,0.052204207,0.0016619156,0.002111239,0.001229363,0,0
"MAG004",0.12808892,0.017094161,0.009741743,0,0,0,0,0,0,0.01821386,0.0031062718,0.0019461112,0,0,0,0.3001466,0.048789337,0.029842833,0.0017930352,0,0,0,0,0
"MAG005",0.27230233,0.109528236,0.103511654,1.149642,0.49146092,3.8292456,0.80737424,0.59414977,3.0291193,0.09011087,0.039382935,0.25178885,0.43217897,0.3769561,1.0899892,0.39701825,0.7809935,1.0113109,0.097746715,0.09747709,0.07649908,0.30764806,0.08509333,0.05700564
"MAG006",0.07648957,0.14849165,0.09079627,0.00700373,0.024412083,0.014044987,0.023512045,0.19360575,0.04263753,0.056722835,0.4290965,0.2524579,0.049543172,0.14960387,0.061721034,0.13079362,0.47658512,0.31424248,0.06837643,0.48029023,0.25323516,0.08904478,0.25748613,0.14395134
"MAG007",0.026298271,0.00085475354,0.0010442302,0.041232917,0.0021317434,0.0009553981,0.0030589078,0,0,0.018373128,0.0017220747,0.00090904156,0.018107826,0.0013851158,0.0010493614,0.006242679,0,0,0.001978628,0,0,0.0074257283,0,0
"MAG008",0.10048621,0.004142738,0.0024209083,0.1107169,0.0047367797,0.0074803676,0.059350174,0.0039738296,0.0036135737,0.10012061,0.0063302256,0.016576845,0.055923622,0.0019487428,0.0036000386,0.04436051,0.0035998402,0.0044820993,0.087145664,0.0035031172,0.0021411912,0.07639427,0.00320748,0.002195623
"MAG009",0.008151265,0.0014545111,0.0010668779,0.041418362,0.016475324,0.008433058,0.01566872,0.0056713414,0.001411709,0.011849913,0,0,0.012495302,0.008435377,0.0008784093,0.008294419,0.00075262133,0.002694788,0.02192859,0.0029780897,0.0010915556,0.046252355,0.007467213,0.0011718669
"MAG010",0.11037365,0.012665951,0.0058747684,0.0601055,0.021732917,0.006563337,0.015979717,0.0030487196,0.000968856,0.0296473,0.0039324327,0.0024677862,0.017876783,0.0033870346,0.0010937513,0.058009937,0.011921428,0.009615795,0.025288746,0.0041306443,0.0028697997,0.0036389169,0,0
"MAG011",0.013097741,0,0,0.06724702,0.003454486,0.0023948508,0.10377059,0.0009208553,0,0.013199201,0.0014797538,0.0012001591,0.008861848,0,0,0.013717801,0.0014741946,0.0008067888,0.01959166,0,0.00085525383,0.0042835562,0,0
"MAG012",0.01605262,0,0,0.039118662,0.018194238,0.011867138,0.023435803,0.01418669,0.0062696193,0.010841121,0.0016400911,0.0010854477,0.019725723,0.011062903,0.0035235693,0.042951714,0.012636284,0.009509424,0.03224201,0.007695433,0.0062727868,0.022486953,0.0050693206,0.0018971472
"MAG013",0.0059429556,0.0014410447,0.00076337584,0.03482102,0.0046715834,0.0027853241,0.023608988,0.005918213,0.002409605,0.006317571,0.011970994,0.0048846886,0.011386219,0.006814326,0.0021847617,0.009094141,0.0038710246,0.0025174343,0.010054332,0.0046595284,0.0024680954,0.010940917,0.006958277,0.002182398
"MAG014",0.0008200191,0,0.0022396157,0.052879475,0.20935567,0.17168032,0.053815335,0.11198237,0.0880176,0.00446473,0.037891254,0.030341167,0.3042225,0.1900383,0.21155968,0.0014889495,0.0023476786,0.0010724923,0.0013101615,0.016656937,0.02151533,0.0019245307,0.01889755,0.025046272
"MAG015",0.03326471,0,0,0.018191796,0.00149716,0.0008049252,0.041841064,0.01039407,0.003687126,0.008688475,0.0008790423,0.00088876847,0.03525115,0.009025757,0.0033893308,0.008310158,0.001709248,0,0.037093375,0.0016840657,0.0010565921,0.019379418,0.0047324477,0.001194972
"MAG016",0.011953058,0,0.0015566306,0.01264049,0.007081246,0.010289744,0.03052529,0.021434603,0.024067549,0.014000924,0.005971191,0.0115389265,0.015021896,0.016549293,0.019095538,0.015965814,0.008274169,0.015807582,0.01685063,0.008603953,0.015071214,0.004993397,0.0025187535,0.0027787185
"MAG017",0,0,0,0.006886489,0.005852076,0.0041328985,0.030118676,0.03043781,0.012365886,0.0013691615,0.0011555704,0,0.047924776,0.025856664,0.014566463,0,0,0,0.0014330953,0.0024085522,0.0018934144,0.010706331,0.008246223,0.0063726883
"MAG018",0.0076890127,0.0012791767,0,0.02465484,0.004377369,0.002328104,0.07146137,0.0030660164,0.0020999894,0.042679638,0.0026732674,0.0017028721,0.0885545,0.0023156055,0.0020529705,0.05171168,0.005630211,0.0019708804,0.06335272,0.007380916,0.0045184023,0.045477513,0.004708831,0.0031478752
