"","original_domain","original_phylum","original_class","original_order","original_family","original_genus","original_species","original_lowest","original_taxonomy","domain","phylum","class","order","family","genus","species","lowest","taxonomy"
"MAG001","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira",NA,"g__Lachnospira","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira sp945946665","s__Lachnospira sp945946665","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp945946665"
"MAG002","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella",NA,"g__Prevotella","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900548195","s__Prevotella sp900548195","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900548195"
"MAG003","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269",NA,"g__CAG-269","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__","Bacteria","Bacillota_A","Clostridia","TANB77","CAG-508","CAG-269","CAG-269 sp945949485","s__CAG-269 sp945949485","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp945949485"
"MAG004","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111",NA,"g__Zag111","d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111","Zag111 sp934692625","s__Zag111 sp934692625","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp934692625"
"MAG005","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_Q","Eubacterium_Q sp900314445","s__Eubacterium_Q sp900314445","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp900314445","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_Q","Eubacterium_Q sp900314445","s__Eubacterium_Q sp900314445","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp900314445"
"MAG006","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA,"f__Oscillospiraceae","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","UMGS1766","UMGS1766 sp900554855","s__UMGS1766 sp900554855","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1766;s__UMGS1766 sp900554855"
"MAG007","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"f__Lachnospiraceae","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CAKQHB01","CAKQHB01 sp934234215","s__CAKQHB01 sp934234215","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAKQHB01;s__CAKQHB01 sp934234215"
"MAG008","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Duodenibacillus",NA,"g__Duodenibacillus","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Duodenibacillus","Duodenibacillus sp900762555","s__Duodenibacillus sp900762555","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__Duodenibacillus sp900762555"
"MAG009","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-877",NA,"g__CAG-877","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-877;s__","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","CAG-877","CAG-877 sp934168205","s__CAG-877 sp934168205","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-877;s__CAG-877 sp934168205"
"MAG010","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D",NA,"g__Treponema_D","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D sp022773305","s__Treponema_D sp022773305","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp022773305"
"MAG011","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D",NA,"g__Treponema_D","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D sp018385415","s__Treponema_D sp018385415","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp018385415"
"MAG012","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-460","CAG-460 sp000437315","s__CAG-460 sp000437315","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__CAG-460 sp000437315","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","UBA6448","UBA6448 sp000437315","s__UBA6448 sp000437315","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UBA6448;s__UBA6448 sp000437315"
"MAG013","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii","s__Lactobacillus johnsonii","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus sp945980025","s__Lactobacillus sp945980025","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp945980025"
"MAG014","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","F082","F082",NA,"g__F082","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__F082;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","F082","Limimorpha","Limimorpha sp900769945","s__Limimorpha sp900769945","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp900769945"
"MAG015","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-710","CAG-710 sp000432595","s__CAG-710 sp000432595","d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-710;s__CAG-710 sp000432595","Bacteria","Bacillota_I","Bacilli_A","RF39","UBA660","CAG-710","CAG-710 sp000432595","s__CAG-710 sp000432595","d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-710;s__CAG-710 sp000432595"
"MAG016","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA,"g__Blautia","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia sp022777285","s__Blautia sp022777285","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp022777285"
"MAG017","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA1712",NA,"g__UBA1712","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1712;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA1712","UBA1712 sp018056665","s__UBA1712 sp018056665","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1712;s__UBA1712 sp018056665"
"MAG018","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9",NA,"g__RC9","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004554455","s__Cryptobacteroides sp004554455","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004554455"
"MAG019","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","KLE1615","KLE1615 sp900066985","s__KLE1615 sp900066985","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp900066985","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Anthropogastromicrobium","Anthropogastromicrobium aceti","s__Anthropogastromicrobium aceti","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium aceti"
"MAG020","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","Anaerobiospirillum","Anaerobiospirillum succiniciproducens","s__Anaerobiospirillum succiniciproducens","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","Anaerobiospirillum","Anaerobiospirillum succiniciproducens","s__Anaerobiospirillum succiniciproducens","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens"
"MAG021","Bacteria","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella jalaludinii","s__Mitsuokella jalaludinii","d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii","Bacteria","Bacillota_C","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella jalaludinii","s__Mitsuokella jalaludinii","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii"
"MAG022","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173",NA,"g__UBA7173","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","UBA7173 sp004557825","s__UBA7173 sp004557825","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp004557825"
"MAG023","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","NC2004",NA,"g__NC2004","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NC2004;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","NC2004","NC2004 sp934317845","s__NC2004 sp934317845","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NC2004;s__NC2004 sp934317845"
"MAG024","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA2868",NA,"g__UBA2868","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA2868","UBA2868 sp004552595","s__UBA2868 sp004552595","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__UBA2868 sp004552595"
"MAG025","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R",NA,"g__Eubacterium_R","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp900543795","s__Eubacterium_R sp900543795","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp900543795"
"MAG026","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-180",NA,"g__CAG-180","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Fimenecus","Fimenecus sp004555265","s__Fimenecus sp004555265","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp004555265"
"MAG027","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA2856",NA,"g__UBA2856","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2856;s__","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Porcincola","Porcincola sp900555005","s__Porcincola sp900555005","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola;s__Porcincola sp900555005"
